epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,149.668,1.24835,0.91672,1.2757,0.77362,0.81818,0.83666,0.46035,1.45309,0.92073,1.48221,0.001307,0.001307,0.001307
44,152.679,1.27953,0.92294,1.32615,0.62683,0.76379,0.7133,0.3562,1.84498,1.20498,1.81052,0.0012905,0.0012905,0.0012905
45,155.696,1.2426,0.88106,1.28747,0.68376,0.72727,0.71125,0.38584,1.73076,1.10554,1.74273,0.001274,0.001274,0.001274
46,158.609,1.33033,0.93184,1.33837,0.74569,0.80016,0.73548,0.3673,1.8224,1.03878,1.74705,0.0012575,0.0012575,0.0012575
47,162.567,1.2336,0.81062,1.25493,0.67396,0.77273,0.73963,0.32977,1.87615,1.2067,1.85926,0.001241,0.001241,0.001241
48,165.596,1.24921,0.85522,1.26707,0.68595,0.81818,0.71709,0.35188,1.77091,1.20764,1.75584,0.0012245,0.0012245,0.0012245
49,168.859,1.1445,0.79943,1.22345,0.70847,0.77273,0.75212,0.34169,1.79448,1.30132,1.80829,0.001208,0.001208,0.001208
50,171.912,1.17321,0.79787,1.23341,0.52853,0.72727,0.67327,0.36645,1.75363,1.23685,1.78224,0.0011915,0.0011915,0.0011915
51,175.934,1.21822,0.80111,1.22625,0.67434,0.68182,0.73367,0.42101,1.62138,1.2688,1.59583,0.001175,0.001175,0.001175
52,178.96,1.17553,0.81715,1.23003,0.92672,0.59091,0.76567,0.47153,1.40678,1.07021,1.47504,0.0011585,0.0011585,0.0011585
53,182.056,1.22617,0.83425,1.22621,0.78268,0.65541,0.79263,0.4458,1.47397,1.04092,1.48187,0.001142,0.001142,0.001142
54,185.045,1.12971,0.79432,1.19793,0.51137,0.77273,0.68061,0.37116,1.68461,1.26835,1.59517,0.0011255,0.0011255,0.0011255
55,189.149,1.17722,0.73276,1.208,0.72962,0.81818,0.7769,0.41894,1.65171,1.32232,1.72515,0.001109,0.001109,0.001109
56,192.084,1.15733,0.72377,1.19611,0.84773,0.75966,0.82572,0.45367,1.65068,1.07655,1.73359,0.0010925,0.0010925,0.0010925
57,195.103,1.0896,0.7138,1.16578,0.75647,0.77273,0.79269,0.39755,1.73233,1.16222,1.78266,0.001076,0.001076,0.001076
58,198.291,1.08175,0.70255,1.18281,1,0.66891,0.76384,0.39608,1.73154,1.30135,1.7053,0.0010595,0.0010595,0.0010595
59,202.069,1.20404,0.78837,1.2217,1,0.63022,0.79542,0.42117,1.77618,1.08096,1.75276,0.001043,0.001043,0.001043
60,205.032,1.1513,0.7545,1.21289,0.64516,0.77273,0.744,0.4315,1.57377,1.11437,1.62951,0.0010265,0.0010265,0.0010265
61,208.09,1.15002,0.70519,1.1825,0.648,0.83717,0.79039,0.4182,1.68391,1.0583,1.75187,0.00101,0.00101,0.00101
62,211.298,1.14554,0.7323,1.20154,0.81429,0.81818,0.81911,0.4418,1.65662,1.04047,1.64867,0.0009935,0.0009935,0.0009935
63,215.106,1.10957,0.7482,1.16828,0.80249,0.81818,0.83712,0.45835,1.53743,1.01599,1.54196,0.000977,0.000977,0.000977
64,218.202,1.0701,0.70273,1.15806,0.86876,0.90293,0.85832,0.45775,1.66487,0.91037,1.78259,0.0009605,0.0009605,0.0009605
65,221.222,1.05849,0.67764,1.16663,0.79561,0.88512,0.8519,0.47396,1.62675,0.94717,1.72104,0.000944,0.000944,0.000944
66,224.769,1.10307,0.71485,1.17216,0.75749,0.85223,0.82769,0.46026,1.61451,1.03413,1.62799,0.0009275,0.0009275,0.0009275
67,228.347,1.02943,0.68241,1.12757,0.72008,0.8185,0.83091,0.44542,1.63232,1.10705,1.6289,0.000911,0.000911,0.000911
68,231.745,1.00169,0.63626,1.10854,0.72629,0.59091,0.72349,0.43061,1.65726,1.18584,1.72463,0.0008945,0.0008945,0.0008945
69,234.828,1.05383,0.68814,1.15205,0.61132,0.77273,0.70674,0.40791,1.60464,1.19802,1.64004,0.000878,0.000878,0.000878
70,238.685,1.0655,0.67822,1.16578,0.81305,0.77273,0.88823,0.45481,1.69105,1.12543,1.71597,0.0008615,0.0008615,0.0008615
71,241.845,1.05108,0.64625,1.15966,0.73853,0.77041,0.80227,0.46072,1.66131,1.15335,1.65784,0.000845,0.000845,0.000845
72,244.844,1.03636,0.66873,1.14403,0.64867,0.81818,0.8082,0.45029,1.68513,1.14623,1.69846,0.0008285,0.0008285,0.0008285
73,247.729,1.05865,0.66479,1.14452,0.66099,0.81818,0.75533,0.41744,1.70046,1.0592,1.71309,0.000812,0.000812,0.000812
74,251.63,1.01205,0.6505,1.13883,0.84029,0.71787,0.82995,0.46238,1.73339,0.85105,1.8729,0.0007955,0.0007955,0.0007955
75,254.714,1.03126,0.65371,1.11733,0.83418,0.72727,0.76877,0.41351,1.76213,1.03182,1.79816,0.000779,0.000779,0.000779
76,257.765,1.07336,0.70204,1.19887,0.91806,0.63636,0.75929,0.36984,1.73186,1.07559,1.81422,0.0007625,0.0007625,0.0007625
77,260.83,0.98113,0.65184,1.13146,0.8672,0.68182,0.80379,0.38679,1.72933,1.05691,1.83311,0.000746,0.000746,0.000746
78,264.985,1.04123,0.65086,1.16625,0.79719,0.81818,0.81104,0.37897,1.71662,0.99673,1.7697,0.0007295,0.0007295,0.0007295
79,267.98,1.00875,0.6482,1.12037,0.78881,0.77273,0.80134,0.39128,1.81517,1.07248,1.80304,0.000713,0.000713,0.000713
80,270.929,0.99857,0.63072,1.11303,0.7783,0.86364,0.85908,0.43069,1.64221,0.98771,1.75654,0.0006965,0.0006965,0.0006965
81,273.908,0.949,0.596,1.10596,0.80376,0.81818,0.83001,0.43156,1.69406,1.18674,1.7113,0.00068,0.00068,0.00068
82,278.037,0.97338,0.60753,1.10692,0.84679,0.77273,0.82242,0.44556,1.69289,1.22937,1.73467,0.0006635,0.0006635,0.0006635
83,281.034,0.95946,0.57943,1.11909,0.76381,0.81818,0.79441,0.44316,1.67609,1.23314,1.73739,0.000647,0.000647,0.000647
84,284.124,0.93618,0.58439,1.10411,0.73753,0.81818,0.83862,0.44501,1.61015,1.09779,1.65936,0.0006305,0.0006305,0.0006305
85,287.344,0.87378,0.56733,1.05385,0.99753,0.81818,0.91162,0.4706,1.70347,0.9124,1.72397,0.000614,0.000614,0.000614
86,291.798,0.92034,0.56301,1.08764,0.81769,0.81818,0.86201,0.475,1.64902,1.03109,1.677,0.0005975,0.0005975,0.0005975
87,294.894,0.86068,0.53887,1.03737,0.92219,0.77273,0.87614,0.46645,1.73344,0.93069,1.77195,0.000581,0.000581,0.000581
88,297.894,0.92606,0.58551,1.07227,0.89601,0.86364,0.88496,0.46945,1.76826,0.8464,1.77503,0.0005645,0.0005645,0.0005645
89,301.182,0.89532,0.56907,1.04991,0.90522,0.86845,0.9379,0.48585,1.71689,0.83169,1.71047,0.000548,0.000548,0.000548
90,305.031,0.91512,0.56303,1.07742,0.84944,0.77273,0.86991,0.46146,1.67311,0.94431,1.69438,0.0005315,0.0005315,0.0005315
91,307.942,0.86638,0.55457,1.03357,0.7796,0.72727,0.84672,0.44748,1.77888,1.00225,1.84888,0.000515,0.000515,0.000515
92,311.01,0.90771,0.57694,1.08621,0.80696,0.77273,0.83291,0.45627,1.67587,1.10469,1.71894,0.0004985,0.0004985,0.0004985
93,314.513,0.92052,0.5623,1.07959,0.71485,0.9117,0.87248,0.49651,1.63393,1.0168,1.6842,0.000482,0.000482,0.000482
94,318.125,0.88988,0.55815,1.04298,0.8998,0.8165,0.90712,0.52639,1.59452,0.97556,1.69434,0.0004655,0.0004655,0.0004655
95,321.132,0.92963,0.54805,1.06808,0.69167,0.90909,0.88637,0.53282,1.4893,0.99449,1.59591,0.000449,0.000449,0.000449
96,324.257,0.82443,0.52957,1.0184,0.89393,0.76648,0.90341,0.51129,1.62934,0.92979,1.71774,0.0004325,0.0004325,0.0004325
97,327.914,0.89704,0.53398,1.04631,0.74147,0.86364,0.87896,0.52639,1.49346,1.00447,1.60678,0.000416,0.000416,0.000416
98,331.205,0.84689,0.52882,1.02474,0.93727,0.67929,0.86143,0.50383,1.52455,0.92496,1.64805,0.0003995,0.0003995,0.0003995
99,334.173,0.82068,0.50349,1.01692,0.83567,0.77273,0.85662,0.48653,1.62079,0.97144,1.69916,0.000383,0.000383,0.000383
100,337.157,0.85674,0.52018,1.04243,0.84906,0.76734,0.83233,0.48554,1.61825,0.92865,1.73529,0.0003665,0.0003665,0.0003665
101,341.025,0.88722,0.54195,1.06585,0.92537,0.77273,0.89953,0.47916,1.62774,0.94887,1.78963,0.00035,0.00035,0.00035
102,344.11,0.81609,0.50134,1.01062,0.84062,0.71957,0.81003,0.44888,1.60828,1.15797,1.75978,0.0003335,0.0003335,0.0003335
103,347.492,0.76027,0.50422,1.00228,0.83146,0.67311,0.8035,0.42059,1.6648,1.17814,1.80853,0.000317,0.000317,0.000317
104,350.589,0.78196,0.48227,1.00659,0.86682,0.63636,0.80346,0.44906,1.64414,1.05697,1.74181,0.0003005,0.0003005,0.0003005
105,354.632,0.8165,0.50555,1.02086,0.77252,0.77186,0.83911,0.50493,1.4931,0.93518,1.53175,0.000284,0.000284,0.000284
106,357.659,0.78264,0.49487,1.00841,0.85985,0.72727,0.87026,0.52958,1.50085,0.87499,1.51436,0.0002675,0.0002675,0.0002675
107,360.679,0.78386,0.51009,1.02244,0.79056,0.85809,0.84644,0.50287,1.64182,0.89428,1.68278,0.000251,0.000251,0.000251
108,363.739,0.7973,0.50049,1.018,0.92756,0.77273,0.90821,0.50707,1.60868,0.97663,1.67431,0.0002345,0.0002345,0.0002345
109,367.778,0.75503,0.47178,1.01031,0.74807,0.8101,0.87463,0.48741,1.60431,1.02766,1.71117,0.000218,0.000218,0.000218
110,370.769,0.85491,0.53763,1.04595,0.84365,0.77273,0.8461,0.45147,1.66402,1.00617,1.79982,0.0002015,0.0002015,0.0002015
111,374.897,0.6936,0.41164,0.95428,0.84784,0.76027,0.8424,0.44737,1.77558,0.90834,1.99574,0.000185,0.000185,0.000185
112,378.438,0.67194,0.38382,0.94958,0.81475,0.80016,0.8686,0.45885,1.67503,0.91517,1.80747,0.0001685,0.0001685,0.0001685
113,381.957,0.63238,0.37155,0.95151,0.78521,0.86364,0.89607,0.49729,1.62026,0.91665,1.71716,0.000152,0.000152,0.000152
114,384.919,0.65699,0.38799,0.9546,0.79248,0.81818,0.89507,0.47786,1.65363,0.92407,1.73592,0.0001355,0.0001355,0.0001355
115,387.997,0.62806,0.37489,0.94326,0.80287,0.92607,0.90162,0.46451,1.65666,0.95816,1.71863,0.000119,0.000119,0.000119
116,391.634,0.61882,0.36706,0.92108,0.80089,0.95455,0.90352,0.48191,1.65717,0.96395,1.72618,0.0001025,0.0001025,0.0001025
117,394.828,0.63043,0.37062,0.93883,0.77763,0.95378,0.89783,0.478,1.65931,0.93871,1.74418,8.6e-05,8.6e-05,8.6e-05
118,397.888,0.63632,0.36987,0.95639,0.85457,0.80179,0.89291,0.47268,1.70427,0.92148,1.80671,6.95e-05,6.95e-05,6.95e-05
119,400.844,0.57262,0.34049,0.89883,0.80566,0.86364,0.8899,0.47315,1.71189,0.89325,1.85317,5.3e-05,5.3e-05,5.3e-05
120,404.27,0.57583,0.33972,0.91632,0.83836,0.86364,0.89596,0.48015,1.7103,0.894,1.85594,3.65e-05,3.65e-05,3.65e-05
